country,social_p,social_p cont. lin. est. from ILO,social_p piecewise lin. est. from ILO,social_r,social_r cont. lin. est. from ILO,social_r piecewise lin. est. from ILO
Serbia,0.3637292364118171,,,0.2908204681208248,,
Sierra Leone,0.02410150585142099,,,0.03956549728395412,,
Slovak Republic,0.43040267,,,0.389464188,,
Slovenia,0.62540764,,,0.33581189,,
South Africa,0.7327359555846154,,,0.09087076465545328,,
Spain,0.52520472,,,0.428425678,,
Sri Lanka,0.08488117518313967,,,0.08099955002727935,,
Sweden,0.45691392,,,0.347844955,,
Syrian Arab Republic,0.0449077463751928,,,0.12255292524153776,,
Tanzania,0.04670887958789026,,,0.055755721231879295,,
Thailand,0.29254505240321776,,,0.5114841293292219,,
Turkey,0.2914336039117214,,,0.2039548719407596,,
Uganda,0.4820507960439505,,,0.11868131619167735,,
Ukraine,0.4945787511353011,,,0.3007949956438002,,
United Kingdom,0.68410164,,,0.414240288,,
United States,0.63,,,0.09,,
Uruguay,0.23173998070470125,,,0.2115162775501324,,
Vietnam,0.2442000471920311,,,0.2475653833673597,,
"Yemen, Rep.",0.10970581006083203,,,0.07832728932803425,,
Zambia,0.14486472615327964,,,0.1068065684921182,,
Afghanistan,,0.06744499194728737,0.1467667439007608,,0.043729253389863366,0.13538923849070023
Algeria,,0.18166088283289464,0.39531143080807934,,0.11778331566314958,0.18379877424000945
Angola,,0.1572586746911625,0.342209895326397,,0.10196167624571156,0.17345608410959312
Antigua and Barbuda,,0.10337046504483742,0.22494400447101529,,0.06702222253220265,0.15061597673825738
Aruba,,0.27791403716972685,0.4450801488733994,,0.1801908933652661,0.22459494086553988
"Bahamas, The",,0.09455855654921194,0.20576844999151891,,0.06130885274257226,0.14688111641338486
Bahrain,,0.054566048761373206,0.1187409335076507,,0.035378943697326644,0.129930596477425
Barbados,,0.23961612716950842,0.4353919532577899,,0.15535970927956483,0.20836266329974773
Belize,,0.06778391150481143,0.14750426522689528,,0.04394899838177223,0.13553288696473376
Bhutan,,0.0735455439827204,0.16004212777118138,,0.047684663244222866,0.13797491102330423
Brunei Darussalam,,0.024063288584208056,0.05236401415554782,,0.01560189442552914,0.11700223381440472
Burundi,,0.06947850929243171,0.15119187185756763,,0.04504772334131653,0.13625112933490152
Cape Verde,,0.15217488132830168,0.33114707543437993,,0.09866550136707866,0.17130135699908977
Central African Republic,,0.021013012566491542,0.04572632222033753,,0.013624189498349391,0.1096414816924286
Chad,,0.010167586725721715,0.02212563978403429,,0.006592349757265834,0.05305232985117513
Chile,,0.23046529911635885,0.43307707465936995,,0.14942659449802556,0.20448415450084179
China,,0.18843927398337576,0.41006185733076883,,0.12217821550132678,0.18667174372068063
Cook Islands,,0.10133694769969309,0.22051887651420846,,0.06570375258074948,0.14975408589405603
Cote d'Ivoire,,0.036603312212598174,0.07965230322252345,,0.023732459126157006,0.1223172273536464
Cuba,,0.44398462035651487,0.4870909086225028,,0.28786593940060806,0.2949826931419839
Cyprus,,0.6598763784993392,0.5417048962963371,,0.4278434992465526,0.3864867711013602
Djibouti,,0.06608931371719115,0.1438166585962229,,0.04285027342222792,0.134814644594566
Dominica,,0.1287894318591417,0.280258103931101,,0.08350309692536723,0.1613896122907743
Equatorial Guinea,,0.011862184513342,0.025813246414706673,,0.007691074716810139,0.06189438482637098
Eritrea,,0.01321786274343823,0.02876333171924458,,0.008570054684445584,0.06896802880652768
Ethiopia,,0.020674093008967488,0.04498880089420306,,0.01340444450644053,0.10787307069738943
Fiji,,,,,,
"Gambia, The",,0.016945977876202858,0.03687606630672382,,0.010987249595443057,0.08842054975195855
Ghana,,0.08032393513320155,0.17479255429387092,,0.05207956308240009,0.14084788050397545
Grenada,,0.05558280743394537,0.12095349748605412,,0.03603817867305322,0.13036154189952567
Guinea,,0.01559029964610663,0.03392598100218591,,0.010108269627807613,0.08134690577180187
Guinea-Bissau,,0.10608182150502989,0.23084417508009109,,0.06878018246747354,0.15176516453052585
Guyana,,0.12540023628390115,0.2728828906697563,,0.08130564700627863,0.1599531275504386
Haiti,,0.03592547309755006,0.0781772605702545,,0.023292969142339283,0.12202993040557929
"Hong Kong SAR, China",,0.07625690044291286,0.16594229838025717,,0.04944262317949376,0.1391240988155727
Iceland,,0.3707779959313185,0.46857187983514303,,0.24040102114829406,0.2639546227507348
India,,0.04812657716841611,0.10472802831109564,,0.03120378885105828,0.12720127547078736
Indonesia,,0.054227129203849145,0.11800341218151622,,0.03515919870541778,0.1297869480033914
"Iran, Islamic Rep.",,0.3623050069932171,0.4664284737254948,,0.23490739635057253,0.260363410899896
Iraq,,0.1796273654877503,0.39088630285127246,,0.1164648457116964,0.18293688339580805
Israel,,0.39619696274562277,0.4750020981640874,,0.2568818955414587,0.27472825830325176
Japan,,0.5676902588527958,0.5183846378233656,,0.3680728614473424,0.34741438616423226
Kazakhstan,,0.1392959381423875,0.3031212650412698,,0.09031519167454194,0.1658427149858146
Kiribati,,0.053549290088801035,0.11652836952924728,,0.03471970872160006,0.12949965105532432
"Korea, Rep.",,0.17386573300984132,0.3783484403069864,,0.11272918084924577,0.18049485933723752
Kosovo,,0.1287894318591417,0.280258103931101,,0.08350309692536723,0.1613896122907743
Kuwait,,0.31214491247965664,0.45373950955637793,,0.20238513754806112,0.23910343674292944
Lebanon,,0.012201104070866057,0.02655076774084115,,0.007910819708719001,0.06366279582141016
Lesotho,,0.0061005520354330284,0.013275383870420574,,0.003955409854359501,0.03183139791070508
Libya,,0.15048028354068138,0.3274594688037075,,0.09756677640753436,0.17058311462892195
Luxembourg,,0.5602340285872666,0.5164984404468753,,0.3632384716253475,0.3442541197354938
"Macao SAR, China",,0.12777267318656954,0.2780455399526976,,0.08284386194964065,0.16095866686867355
"Macedonia, FYR",,0.4568635635424291,0.4903488859091679,,0.2962162490931448,0.30044133515525884
Maldives,,0.1986068607090975,0.42501786768709293,,0.12877056525859262,0.19098119794168722
Malta,,0.48533280637444987,0.4975507304375856,,0.31467482841348915,0.3125078069740779
Marshall Islands,,0.3267184534531911,0.4574261680649727,,0.21183417220014214,0.24528032112637232
Mauritania,,0.028469242832020798,0.06195179139529601,,0.018458579320344334,0.11886966397684101
Mauritius,,0.2280928622136905,0.4324769209486684,,0.14788837955466355,0.2034786151826068
